edition,product,version,checksum,date,dlnumber,url,filename,filetype,size,family
Citrix Virtual Apps and Desktops 7 2106,Multi-session OS Virtual Delivery Agent 2106,2106,SHA-256 - 1c74a4e0ebe0c178cc843a3f43360e687b345704c099712b25f4630b6e5bf16f,"Jun 16, 2021",19468,https://secureportal.citrix.com/udl.asp?DLID=19468&URL=https://downloads.citrix.com/19468/VDAServerSetup_2106.exe,VDAServerSetup_2106.exe,exe,468 MB,cvad
Citrix Virtual Apps and Desktops 7 2106,Single-session OS Virtual Delivery Agent 2106,2106,SHA-256 - fa391ca97ca00d29117b5c291a4cb5ac214a31081cfa1450098ce4824156b56c,"Jun 16, 2021",19469,https://secureportal.citrix.com/udl.asp?DLID=19469&URL=https://downloads.citrix.com/19469/VDAWorkstationSetup_2106.exe,VDAWorkstationSetup_2106.exe,exe,472 MB,cvad
Citrix Virtual Apps and Desktops 7 2106,Single-session OS Core Services Virtual Delivery Agent 2106,2106,SHA-256 - a3f9bca755d77310a90ebac31ea1ed37917bf60c20ab27c5b3d2cef74eafb610,"Jun 16, 2021",19470,https://secureportal.citrix.com/udl.asp?DLID=19470&URL=https://downloads.citrix.com/19470/VDAWorkstationCoreSetup_2106.exe,VDAWorkstationCoreSetup_2106.exe,exe,251 MB,cvad
Citrix Virtual Apps and Desktops 7 2106,License Server for Windows - Version 11.17.2.0 Build 35000,2106,SHA-256 - cf0c85fae1d50ba5efaeec7ffc36d89221255dbc1e78a7b8dc9b4b656f0b0d18,"Jun 16, 2021",9803,https://secureportal.citrix.com/udl.asp?DLID=9803&URL=https://downloads.citrix.com/9803/Citrix_Licensing_11.17.2.0_BUILD_35000.zip,Citrix_Licensing_11.17.2.0_BUILD_35000.zip,zip,54.4 MB,cvad
Citrix Virtual Apps and Desktops 7 2106,Profile Management 2106,2106,SHA-256 - df55cf39c404cb480e8359745c512aa22ac349a80d5bbb6153280656263a7117,"Jun 16, 2021",19471,https://secureportal.citrix.com/udl.asp?DLID=19471&URL=https://downloads.citrix.com/19471/ProfileMgmt_2106.zip,ProfileMgmt_2106.zip,zip,12 MB,cvad
Citrix Virtual Apps and Desktops 7 2106,StoreFront 1912 LTSR CU3,2106,SHA-256 - 100346fd79ed3854e81125e87ccece19d5189f95a6b11da61e0f33cf59c4fb46,"May 12, 2021",19430,https://secureportal.citrix.com/udl.asp?DLID=19430&URL=https://downloads.citrix.com/19430/CitrixStoreFront-x64.exe,CitrixStoreFront-x64.exe,exe,47.1 MB,cvad
Citrix Virtual Apps and Desktops 7 2106,Sources: Session Recording,2106,SHA-256 - 5e6a0127c127b19af851fd83dc2cb70b1918dc20ef21af84bf66efc02fb52916,"Feb 23, 2017",12292,https://secureportal.citrix.com/udl.asp?DLID=12292&URL=https://downloads.citrix.com/12292/MMCFormsShim.zip,MMCFormsShim.zip,zip,18.1 KB,cvad
Citrix Virtual Apps and Desktops 7 2103,Citrix Virtual Apps and Desktops 7 2103,2103,SHA-256 - 7f2f05db4ecd8b691f3b91990e4467ccbbcf41c9879b37af5196ac8c3d3a0341,"Mar 17, 2021",19143,https://secureportal.citrix.com/udl.asp?DLID=19143&URL=https://downloads.citrix.com/19143/Citrix_Virtual_Apps_and_Desktops_7_2103.iso,Citrix_Virtual_Apps_and_Desktops_7_2103.iso,iso,3.10 GB,cvad
Citrix Virtual Apps and Desktops 7 2103,Multi-session OS Virtual Delivery Agent 2103,2103,SHA-256 - 74b4d0ea5c4fb5e5077b34843210a62ae9320955acd093f9483069cb4ebe13f4,"Mar 17, 2021",19144,https://secureportal.citrix.com/udl.asp?DLID=19144&URL=https://downloads.citrix.com/19144/VDAServerSetup_2103.exe,VDAServerSetup_2103.exe,exe,463 MB,cvad
Citrix Virtual Apps and Desktops 7 2103,Single-session OS Virtual Delivery Agent 2103,2103,SHA-256 - 2d1f64aa25378ba794543ac16c3a9fd481324745eb89e5b62263c8b57967ca43,"Mar 17, 2021",19145,https://secureportal.citrix.com/udl.asp?DLID=19145&URL=https://downloads.citrix.com/19145/VDAWorkstationSetup_2103.exe,VDAWorkstationSetup_2103.exe,exe,468 MB,cvad
Citrix Virtual Apps and Desktops 7 2103,Single-session OS Core Services Virtual Delivery Agent 2103,2103,SHA-256 - a538249317a4be7b2abd98b98cfa0785ec00e226ef86e714c279f57d85435dce,"Mar 17, 2021",19146,https://secureportal.citrix.com/udl.asp?DLID=19146&URL=https://downloads.citrix.com/19146/VDAWorkstationCoreSetup_2103.exe,VDAWorkstationCoreSetup_2103.exe,exe,251 MB,cvad
